ID,School_name,Gender,Age,Address,Family_size ,Pstatus ,school_choice_reason,home_to_school_travel_time,weekly_study_time,num_of_past_class_failures,extra_educational_support,family_educational_support,extra_paid_classes,extra_curricular_activities,attended_nursery_school,wants_higher_education,internet_access_at_home,free_time_after_school,going_out_with_friends,current_health_status,mat_number_of_school_absences,mat_first_period_grade,mat_second_period_grade,mat_final_grade,por_number_of_school_absences,por_first_period_grade,por_second_period_grade,por_final_grade
0,Gabriel Pereira,Female,18,Urban,greater than 3,Apart,course,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,Medium,High,Medium,6,5,6,6,4,0,11,11
1,Gabriel Pereira,Female,17,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,Medium,Medium,Medium,4,5,5,6,2,9,11,11
2,Gabriel Pereira,Female,15,Urban,equal to 3,living together,other,<15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,Medium,Low,Medium,10,7,8,10,6,12,13,12
3,Gabriel Pereira,Female,15,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Low,Low,Very High,2,15,14,15,0,14,14,14
4,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,Medium,Low,Very High,4,6,10,10,0,11,13,13
5,Gabriel Pereira,Male,16,Urban,equal to 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,High,Low,Very High,10,15,15,15,6,12,12,13
6,Gabriel Pereira,Male,16,Urban,equal to 3,living together,home,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,High,High,Medium,0,12,12,11,0,13,12,13
7,Gabriel Pereira,Female,17,Urban,greater than 3,Apart,home,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,Very Low,High,Very Low,6,6,5,6,2,10,13,13
8,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Low,Low,Very Low,0,16,18,19,0,15,16,17
9,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Very High,Very Low,Very High,0,14,15,15,0,12,12,13
10,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Medium,Low,0,10,8,9,2,14,14,14
11,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,Low,Low,High,4,10,12,12,0,10,12,13
12,Gabriel Pereira,Male,15,Urban,equal to 3,living together,course,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Medium,Very High,2,14,14,14,0,12,13,12
13,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,High,Medium,Medium,2,10,10,11,0,12,12,13
14,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,home,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,Very High,Low,Medium,0,14,16,16,0,14,14,15
15,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,High,High,Low,4,14,14,14,6,17,17,17
16,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Low,Medium,Low,6,13,14,14,10,13,13,14
17,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,Medium,Low,High,4,8,10,10,2,13,14,14
18,Gabriel Pereira,Male,17,Urban,greater than 3,living together,course,<15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,Very High,Very High,Very High,16,6,5,5,2,8,8,7
19,Gabriel Pereira,Male,16,Urban,equal to 3,living together,home,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,Very Low,Medium,Very High,4,8,10,10,6,12,12,12
20,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,High,Very Low,Very Low,0,13,14,15,0,12,13,14
21,Gabriel Pereira,Male,15,Urban,greater than 3,living together,other,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,High,Low,Very High,0,12,15,15,0,11,12,12
22,Gabriel Pereira,Male,16,Urban,equal to 3,living together,course,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,Very High,Very Low,Very High,2,15,15,16,0,12,13,14
23,Gabriel Pereira,Male,16,Urban,equal to 3,living together,reputation,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,High,High,Very High,0,13,13,12,2,10,10,10
24,Gabriel Pereira,Female,15,Rural,greater than 3,living together,course,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,Medium,Low,Very High,2,10,9,8,2,10,11,10
25,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,<2 hours,2,no,yes,yes,no,no,yes,yes,Low,Low,Very High,14,6,9,8,6,10,11,12
26,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,Low,Low,Very High,2,12,12,11,8,11,12,12
27,Gabriel Pereira,Male,15,Urban,greater than 3,living together,other,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,Low,High,Very Low,4,15,16,15,0,11,11,11
28,Gabriel Pereira,Male,16,Urban,equal to 3,Apart,home,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,Medium,Medium,Very High,4,11,11,11,2,12,12,13
29,Gabriel Pereira,Male,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,High,Very High,Very High,16,10,12,11,4,12,11,12
30,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,High,Low,Very High,0,9,11,12,0,10,11,11
31,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,Medium,Very Low,Very High,0,17,16,17,2,15,15,15
32,Gabriel Pereira,Male,15,Rural,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,Very High,Low,Very High,0,17,16,16,0,13,14,15
33,Gabriel Pereira,Male,15,Urban,equal to 3,living together,course,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,Medium,Low,Low,0,8,10,12,0,13,12,12
34,Gabriel Pereira,Male,16,Urban,greater than 3,living together,home,<15 min,<2 hours,0,no,yes,yes,no,no,yes,yes,High,Medium,Very High,0,12,14,15,4,12,12,12
35,Gabriel Pereira,Female,15,Urban,greater than 3,living together,other,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,Very High,Very Low,Very High,0,8,7,6,4,11,11,11
36,Gabriel Pereira,Male,15,Urban,equal to 3,living together,home,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,High,Medium,High,2,15,16,18,0,14,14,14
37,Gabriel Pereira,Male,16,Rural,greater than 3,Apart,reputation,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,High,Medium,Very High,7,15,16,15,4,13,13,13
38,Gabriel Pereira,Female,15,Rural,greater than 3,living together,course,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,Medium,Low,Very High,2,12,12,11,2,11,12,12
39,Gabriel Pereira,Female,15,Rural,greater than 3,living together,reputation,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,no,Medium,Very Low,Low,8,14,13,13,8,14,13,12
40,Gabriel Pereira,Female,16,Urban,equal to 3,living together,home,15 to 30 min.,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,Medium,Medium,Medium,25,7,10,11,16,11,11,10
41,Gabriel Pereira,Male,15,Urban,equal to 3,living together,home,<15 min,<2 hours,0,no,yes,no,no,no,yes,yes,High,Medium,Very High,8,12,12,12,8,10,11,11
42,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,Medium,Medium,Very High,2,19,18,18,0,14,15,15
43,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,yes,High,Very Low,Very Low,0,8,8,11,0,9,10,10
44,Gabriel Pereira,Female,16,Urban,equal to 3,living together,course,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,Medium,Medium,Very High,14,10,10,9,14,10,11,11
45,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,course,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,Low,Low,Very High,8,8,8,6,4,10,11,11
46,Gabriel Pereira,Female,16,Urban,equal to 3,Apart,home,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,Medium,Very High,Medium,12,11,12,11,6,13,12,13
47,Gabriel Pereira,Male,16,Urban,greater than 3,living together,reputation,<15 min,  >10 hours,0,no,no,no,yes,yes,yes,yes,Low,Low,Low,4,19,19,20,2,17,17,17
48,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,Medium,Medium,Very High,2,15,15,14,4,11,12,13
49,Gabriel Pereira,Female,15,Urban,greater than 3,living together,other,<15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,High,High,Medium,2,7,7,7,2,13,12,12
50,Gabriel Pereira,Female,16,Urban,equal to 3,living together,course,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Medium,High,2,12,13,13,0,14,13,13
51,Gabriel Pereira,Female,15,Urban,equal to 3,living together,other,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Medium,Very High,2,11,13,13,0,16,14,16
52,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,other,15 to 30 min.,<2 hours,1,no,no,no,no,yes,yes,no,Very High,Very High,Very High,6,11,11,10,4,10,9,9
53,Gabriel Pereira,Female,15,Urban,greater than 3,living together,course,<15 min,<2 hours,0,yes,yes,yes,no,yes,yes,yes,Medium,High,Very High,0,8,10,11,0,13,12,12
54,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,other,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,Medium,High,Very Low,6,10,13,13,0,13,12,13
55,Gabriel Pereira,Female,16,Urban,greater than 3,Apart,other,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,Medium,High,Low,8,8,9,10,2,12,13,12
56,Gabriel Pereira,Female,15,Urban,greater than 3,Apart,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Low,Very Low,0,14,15,15,0,15,14,15
57,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Low,Low,Very High,4,14,15,15,8,15,15,16
58,Gabriel Pereira,Male,15,Urban,equal to 3,living together,home,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,Medium,Low,Very High,2,9,10,9,0,14,13,14
59,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,Low,Medium,Very High,2,15,16,16,2,16,15,16
60,Gabriel Pereira,Female,16,Rural,greater than 3,living together,other,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,High,High,High,6,10,11,11,0,17,16,16
61,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course, >1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,Very High,Very High,Very High,6,10,8,11,0,10,10,16
62,Gabriel Pereira,Female,16,Urban,equal to 3,living together,reputation,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,High,Medium,Very Low,4,8,10,9,0,13,13,10
63,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,High,High,High,2,10,9,9,0,14,13,13
64,Gabriel Pereira,Female,15,Urban,equal to 3,living together,reputation,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,High,High,Low,0,10,10,10,0,13,12,12
65,Gabriel Pereira,Female,16,Urban,equal to 3,living together,course,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,High,Medium,Very Low,2,16,15,15,2,16,15,16
66,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,reputation,<15 min,  >10 hours,0,no,yes,no,yes,no,yes,yes,Medium,Medium,Medium,4,13,13,12,0,11,12,12
67,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course,<15 min,  >10 hours,0,yes,yes,yes,no,yes,yes,yes,Medium,Medium,Very High,4,7,7,6,0,10,9,10
68,Gabriel Pereira,Female,15,Rural,equal to 3,living together,reputation,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,Very Low,Medium,High,2,8,9,8,0,11,10,11
69,Gabriel Pereira,Female,15,Rural,equal to 3,living together,reputation,15 to 30 min.,  >10 hours,0,no,yes,no,no,no,yes,yes,High,Low,Medium,12,16,16,16,6,15,15,15
70,Gabriel Pereira,Male,16,Urban,greater than 3,living together,reputation,15 to 30 min.,  >10 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Low,Very High,0,13,15,15,2,13,11,11
71,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,<15 min,  >10 hours,0,no,no,no,no,yes,yes,yes,Medium,Medium,Medium,0,10,10,10,0,11,9,10
72,Gabriel Pereira,Female,15,Rural,greater than 3,living together,reputation,<15 min,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,Medium,High,Very High,2,8,6,5,2,13,11,11
73,Gabriel Pereira,Male,16,Urban,greater than 3,living together,reputation,<15 min,<2 hours,0,no,no,no,yes,yes,yes,no,Medium,Low,Very High,2,12,12,14,0,13,13,14
74,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,Medium,Medium,Very High,54,11,12,11,4,11,11,11
75,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Medium,Very High,6,9,9,10,0,11,11,11
76,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,15 to 30 min.,  >10 hours,0,no,no,no,yes,yes,yes,yes,High,Medium,Very Low,8,11,11,10,0,12,11,11
77,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,<15 min,  >10 hours,0,no,no,yes,no,yes,yes,yes,Low,Medium,Medium,0,11,11,11,1,13,13,13
78,Gabriel Pereira,Male,17,Urban,greater than 3,living together,home,15 to 30 min.,<2 hours,3,yes,yes,no,yes,yes,no,yes,Very High,Very Low,Medium,2,8,8,10,0,9,9,10
79,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,High,Medium,Medium,12,5,5,5,14,12,11,11
80,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,<15 min,<2 hours,0,yes,yes,yes,yes,no,yes,yes,Low,Low,Medium,2,10,12,12,0,11,11,12
81,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,Medium,Low,Very High,4,11,10,11,2,10,9,9
82,Gabriel Pereira,Female,15,Urban,equal to 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,High,High,Very High,10,7,6,6,4,12,11,11
83,Gabriel Pereira,Male,15,Urban,equal to 3,living together,home,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,Medium,Medium,High,4,15,15,15,2,13,12,13
84,Gabriel Pereira,Female,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,Medium,Low,High,2,9,10,10,2,13,12,12
85,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,15 to 30 min.,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,High,High,Very High,6,7,9,8,4,12,11,12
86,Gabriel Pereira,Female,16,Urban,equal to 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,Medium,High,Low,4,8,7,6,6,13,11,11
87,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,Medium,Medium,Very Low,4,13,14,14,4,15,15,15
88,Gabriel Pereira,Male,16,Urban,greater than 3,living together,reputation,15 to 30 min.,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,High,Low,Medium,12,11,10,10,6,12,10,11
89,Gabriel Pereira,Male,16,Urban,equal to 3,Apart,reputation,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,Very Low,Medium,Very High,18,8,6,7,6,9,9,10
90,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Medium,High,0,7,7,8,2,9,11,11
91,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,Very High,Very High,Very Low,4,16,17,18,6,14,13,13
92,Gabriel Pereira,Female,16,Urban,equal to 3,living together,home,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,Medium,Medium,Low,4,7,6,6,0,12,13,12
93,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Medium,Very Low,0,11,10,10,2,13,14,14
94,Gabriel Pereira,Male,15,Urban,equal to 3,living together,reputation,<15 min,  >10 hours,0,no,yes,no,yes,yes,yes,yes,Medium,High,High,6,11,13,14,2,11,12,12
95,Gabriel Pereira,Female,15,Rural,greater than 3,living together,home,15 to 30 min.,  >10 hours,1,yes,yes,yes,yes,yes,yes,yes,Very Low,Low,Very Low,2,7,10,10,4,13,13,13
96,Gabriel Pereira,Male,16,Rural,greater than 3,living together,reputation,15 to 30 min.,<2 hours,0,yes,yes,no,yes,no,yes,yes,Medium,Medium,High,2,11,15,15,6,9,11,11
97,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,Medium,Very High,Very High,2,8,9,10,0,13,12,12
98,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,Medium,High,Very Low,6,11,14,14,4,12,13,13
99,Gabriel Pereira,Female,16,Urban,greater than 3,living together,course,<15 min,5 to 10 hours,0,yes,yes,yes,no,yes,yes,yes,Medium,Very High,Medium,0,7,9,8,2,12,13,13
100,Gabriel Pereira,Male,16,Urban,greater than 3,living together,other,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,yes,Very High,Very High,High,14,7,7,5,12,9,9,8
101,Gabriel Pereira,Male,16,Urban,greater than 3,living together,other,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,High,Medium,High,0,16,17,17,0,16,16,16
102,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,<15 min,<2 hours,0,no,yes,no,yes,no,yes,yes,Medium,Medium,Very High,4,10,13,14,2,12,13,12
103,Gabriel Pereira,Female,15,Urban,greater than 3,living together,home,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,Medium,Very High,Low,26,7,6,6,16,11,10,10
104,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,course,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,High,High,Very Low,0,16,18,18,0,16,16,16
105,Gabriel Pereira,Female,15,Urban,greater than 3,Apart,reputation,<15 min,  >10 hours,0,yes,no,no,no,yes,yes,no,Medium,Medium,High,10,10,11,11,10,10,10,10
106,Gabriel Pereira,Female,15,Urban,greater than 3,living together,course,<15 min,  >10 hours,0,yes,yes,yes,no,yes,yes,yes,Very Low,Low,Medium,8,7,8,8,4,10,10,10
107,Gabriel Pereira,Male,16,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,Medium,Medium,Very High,2,16,18,18,4,13,14,14
108,Gabriel Pereira,Male,15,Rural,greater than 3,living together,home, >1 hour,  >10 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Very High,Very Low,6,10,13,13,8,12,10,11
109,Gabriel Pereira,Female,16,Urban,equal to 3,living together,other,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,High,Very High,High,4,14,15,16,2,15,15,14
110,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,course,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,Very High,Medium,High,6,18,19,19,4,13,14,14
111,Gabriel Pereira,Female,16,Rural,greater than 3,living together,reputation,<15 min,5 to 10 hours,1,yes,yes,no,yes,yes,yes,yes,Very Low,Low,Low,0,7,10,10,4,11,11,11
112,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,Very Low,Low,Very High,6,10,13,13,12,8,10,10
113,Gabriel Pereira,Male,15,Urban,equal to 3,living together,course,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,Very High,Low,Medium,10,18,19,19,10,18,17,18
114,Gabriel Pereira,Male,15,Rural,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,High,Low,Very High,8,9,9,9,4,10,9,10
115,Gabriel Pereira,Male,16,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,High,High,Very High,2,15,15,16,6,16,14,14
116,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,High,Medium,Low,2,11,13,14,4,16,15,16
117,Gabriel Pereira,Male,16,Urban,greater than 3,living together,home,15 to 30 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,High,Low,Very High,0,13,14,13,6,14,14,15
118,Gabriel Pereira,Male,17,Rural,greater than 3,living together,course,30 min. to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,Low,High,Very High,20,9,7,8,14,12,11,11
119,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,High,Medium,High,6,14,13,13,2,14,13,14
120,Gabriel Pereira,Female,15,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,no,no,no,no,yes,yes,Low,Medium,Very Low,2,16,15,15,0,14,14,14
121,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,  >10 hours,0,no,yes,yes,yes,yes,yes,yes,Very High,High,Very High,6,16,14,15,6,14,13,13
122,Gabriel Pereira,Female,16,Urban,equal to 3,living together,course,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Low,Low,Very High,2,13,13,13,2,14,12,13
123,Gabriel Pereira,Male,16,Urban,greater than 3,living together,course,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,High,High,Very High,18,14,11,13,4,12,13,13
124,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,High,High,Very High,0,8,7,8,0,12,11,11
125,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,<2 hours,0,yes,no,no,no,yes,yes,yes,Very High,Very High,Very High,0,13,13,12,2,9,9,9
126,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,home,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,Medium,Low,Very Low,0,7,10,11,0,10,11,11
127,Gabriel Pereira,Female,19,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,3,no,yes,no,no,no,no,no,High,Low,Very High,2,7,8,9,0,9,10,11
128,Gabriel Pereira,Male,18,Rural,greater than 3,living together,reputation,<15 min,<2 hours,2,no,yes,no,yes,yes,yes,yes,Medium,Medium,High,0,7,4,0,8,14,14,15
129,Gabriel Pereira,Male,16,Rural,greater than 3,living together,course,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,Very High,Very High,High,8,18,18,18,4,13,12,13
